	1Pulse-H_(Benzyl_benzoate)	1Pulse-H_(Cis_Decahydronaftalene)	1Pulse-H_(EthylPhenylPropiolate)	1Pulse-H_(m-Anisaldehyde)	1Pulse-H_(Mieszanina_4)	
-3.58611	-1.82504e-05	5.45133e-05	2.07087e-05	1.83896e-05	-5.90366e-05	
-3.58435	-2.42075e-05	4.08149e-06	2.26518e-05	2.80033e-05	-1.04126e-05	
-3.5826	-3.01647e-05	-4.63503e-05	2.45949e-05	3.76171e-05	-4.19932e-05	
-3.58084	-2.72804e-05	-1.42668e-05	-5.71017e-08	5.65847e-05	-8.46018e-05	
-3.57908	-2.43962e-05	1.78168e-05	-2.47091e-05	7.55523e-05	-7.90878e-05	
-3.57733	-1.11611e-05	-9.80927e-06	-3.96221e-05	8.45424e-05	-4.95123e-05	
-3.57557	2.07394e-06	-3.74353e-05	1.73843e-05	9.35325e-05	-1.99369e-05	
-3.57382	2.69403e-05	-2.96218e-05	6.14501e-05	0.000109512	-1.45638e-05	
-3.57206	5.18065e-05	-2.18082e-05	4.55831e-05	0.000125492	-9.19074e-06	
-3.5703	7.66728e-05	-1.39946e-05	-6.24353e-06	0.000108213	-2.7879e-05	
-3.56855	0.000101539	-6.1811e-06	-2.21105e-05	5.10243e-05	-4.65673e-05	
-3.56679	7.76702e-05	1.36573e-05	-1.40044e-05	2.77381e-06	-5.2473e-05	
-3.56504	5.38012e-05	3.34957e-05	-5.89818e-06	2.10399e-05	-5.83787e-05	
-3.56328	2.99323e-05	6.89336e-06	-1.35244e-05	8.17103e-05	-4.0223e-05	
-3.56153	6.06332e-06	-1.97091e-05	-2.11506e-05	0.000102471	-2.20673e-05	
-3.55977	-6.37656e-06	6.45278e-06	1.636e-05	7.18887e-05	-1.09296e-05	
-3.55801	-1.88165e-05	3.26146e-05	5.38707e-05	4.13066e-05	2.08238e-07	
-3.55626	-2.09055e-05	2.56044e-05	-6.75855e-06	4.14885e-05	-6.84668e-07	
-3.5545	-2.29945e-05	1.85943e-05	-6.73878e-05	4.16704e-05	-1.57757e-06	
-3.55275	1.0092e-06	4.06096e-05	-5.83452e-05	5.89178e-06	-1.37492e-05	
-3.55099	2.50129e-05	6.26249e-05	1.06301e-05	-2.98869e-05	-2.59209e-05	
-3.54923	2.8315e-05	5.14682e-05	6.61206e-05	-1.7441e-05	-3.80926e-05	
