	1H_pinene_CDCl3	1H_benzyl_benzoate_CDCl3	1H_limonene_CDCl3_3	1H_pinene_benzylbenzoate_CDCl3	
0.496786	8.5922e-05	4.02331e-06	-9.9137e-05	-0.000555657	
0.496907	0.000185041	3.54052e-05	-5.88116e-05	-0.000668518	
0.497029	0.000284232	6.67796e-05	0.00015453	-0.000781301	
0.497151	0.000275301	0.000202388	0.000273253	-0.000789117	
0.497272	0.000266369	0.000337988	4.5944e-05	-0.000796854	
0.497394	0.000131959	0.00029958	-7.32294e-05	-0.00080467	
0.497515	0.000220623	0.00026118	-1.93873e-05	-0.000812408	
0.497637	0.000313932	0.000219151	9.57311e-05	-0.000855237	
0.497759	0.000407241	0.000177123	0.00021085	-0.000897989	
0.49788	0.000514492	0.000135094	0.000163766	-0.000950824	
0.498002	0.000621818	9.30652e-05	0.000116682	-0.000603411	
0.498124	0.000690656	-5.54547e-05	9.12254e-05	1.21817e-06	
0.498245	0.000759566	-0.000203967	6.57686e-05	0.000205759	
0.498367	0.000814535	-0.000352487	4.03118e-05	-5.99772e-05	
0.498489	0.000869505	-0.000500999	1.48551e-05	-0.000325639	
0.49861	0.00094771	-0.000345007	-1.06012e-05	-0.000396293	
0.498732	0.000802845	-0.000189014	-3.6058e-05	-0.000466868	
0.498853	0.000657979	-3.3021e-05	-7.23284e-05	-0.000537526	
0.498975	0.000736184	0.000122972	-0.000108599	-0.000608101	
0.499097	0.000891071	0.000141211	-6.82734e-05	-0.000443656	
0.499218	0.00104596	0.00015945	-0.000200964	-0.000279132	
0.49934	0.000843	0.000177689	-0.000279587	-0.000114691	
0.499462	0.000640044	0.000195928	-1.21784e-05	4.98332e-05	
0.499583	0.000492854	1.4782e-05	0.0001507	0.000254296	
0.499705	0.000345664	-0.000166357	-3.24538e-05	0.000458837	
0.499827	7.29971e-05	-0.000173494	-0.000385019	0.000263128	
0.499948	2.34004e-05	-0.000180632	-0.000564567	6.74985e-05	
0.50007	-1.07996e-05	-0.000194795	-0.00043627	4.70206e-05	
0.500192	-4.49289e-05	-0.000208952	-0.000307973	2.65427e-05	
0.500313	-6.51162e-05	-0.000223115	-0.000341877	0.000246167	
0.500435	-8.53036e-05	-0.000237271	-0.000375782	0.000465792	
0.500556	1.06934e-05	2.77013e-05	-0.000186208	0.000325263	
0.500678	0.00010669	0.000292674	3.3658e-06	0.000184733	
0.5008	-2.96794e-05	0.000253133	1.99242e-05	4.4208e-05	
0.500921	-0.000389121	-0.000134408	3.64822e-05	-9.63211e-05	
0.501043	-0.000577847	-0.000503831	0.000113416	6.07781e-05	
0.501165	-0.000543427	-0.000525244	0.000190349	0.000217874	
0.501286	-0.000299878	-0.000147894	-0.000114794	0.000374973	
0.501408	-0.0002794	0.000229463	-0.000419937	0.000532072	
0.50153	-0.000393696	0.000360303	-0.000422303	0.000263989	
0.501651	-0.000507992	0.000143133	-7.86362e-05	-4.09409e-06	
0.501773	-0.000413157	0.000121728	0.00026503	0.000127994	
0.501894	-0.000318322	0.000100315	0.000262665	0.000260081	
0.502016	-0.000193572	-2.65986e-06	0.000186857	0.000153314	
0.502138	-6.88192e-05	-0.000105634	0.00011105	4.65512e-05	
0.502259	5.59334e-05	-0.000208616	1.36164e-05	-6.02119e-05	
0.502381	0.000180684	-0.000311591	-8.38176e-05	-0.000166975	
0.502503	0.000128837	-6.6556e-05	3.50177e-05	-0.00024873	
0.502624	7.69906e-05	0.000178479	0.000153854	-0.000330485	
0.502746	9.95006e-05	3.92571e-05	-0.000131014	-0.000412237	
0.502868	0.000345156	-9.99719e-05	-0.000415882	-0.000493992	
0.502989	0.00053497	-0.000315331	-0.000435819	-0.000543229	
0.503111	0.000352999	-0.000182673	-0.000455757	-0.00059247	
0.503233	-8.92244e-05	4.42415e-05	-0.000627083	-0.000641711	
0.503354	-0.000308374	0.000271149	-0.000798409	-0.000690948	
0.503476	-0.000202212	-6.02081e-05	-0.000839973	-0.000715178	
0.503597	0.000127021	-0.000391565	-0.000535506	-0.000739407	
