,Mieszanina_perfumy_bez menthonu
0.417944,0.00244566
0.4197,0.00245108
0.421455,0.0024565
0.423211,0.00245533
0.424967,0.00245417
0.426723,0.00247324
0.428479,0.00250738
0.430235,0.00253367
0.43199,0.00253486
0.433746,0.00253495
0.435502,0.00256014
0.437258,0.00259475
0.439014,0.00262935
0.44077,0.00263792
0.442525,0.00264648
0.444281,0.00264154
0.446037,0.00263661
0.447793,0.00263538
0.449549,0.00265926
0.451305,0.00270323
0.45306,0.00274719
0.454816,0.00278645
0.456572,0.00281064
0.458328,0.0028182
0.460084,0.0028107
0.46184,0.00280108
0.463595,0.00281656
0.465351,0.00284209
0.467107,0.00286762
0.468863,0.0028922
0.470619,0.00291679
0.472375,0.00295643
0.47413,0.00299608
0.475886,0.00298734
0.477642,0.0029786
0.479398,0.00299496
0.481154,0.00301132
0.48291,0.00303098
0.484665,0.00305064
0.486421,0.00306276
0.488177,0.00307489
0.489933,0.00307266
0.491689,0.00307043
0.493445,0.0030933
0.4952,0.00311618
0.496956,0.00313513
0.498712,0.00315408
0.500468,0.00317303
0.502224,0.00319198
0.50398,0.00322692
0.505735,0.00326185
0.507491,0.00329679
0.509247,0.00333173
0.511003,0.0033949
0.512759,0.00345808
0.514515,0.00348612
0.51627,0.00351415
0.518026,0.00354673
0.519782,0.00357931
0.521538,0.00359683
0.523294,0.00361435
0.52505,0.0036394
0.526805,0.00366445
0.528561,0.00367601
0.530317,0.00368757
0.532073,0.00370868
0.533829,0.0037549
0.535585,0.00380206
0.53734,0.00384922
0.539096,0.00388006
0.540852,0.00391091
0.542608,0.00393673
0.544364,0.00394748
0.54612,0.00396491
0.547875,0.00400744
0.549631,0.00405845
0.551387,0.00409439
0.553143,0.00413598
0.554899,0.00417757
0.556655,0.00424332
0.55841,0.00430907
0.560166,0.00434537
0.561922,0.00438166
0.563678,0.00443302
0.565434,0.00448438
0.56719,0.00454389
0.568945,0.00460341
0.570701,0.00464786
0.572457,0.00469232
0.574213,0.00473465
0.575969,0.00477699
0.577725,0.00483439
0.57948,0.00489178
0.581236,0.00493035
0.582992,0.00496892
0.584748,0.0050326
0.586504,0.00509627
0.58826,0.00514337
0.590015,0.00519048
0.591771,0.00522251
0.593527,0.00525455
0.595283,0.0053004
0.597039,0.00534624
0.598795,0.00537703
0.60055,0.00540781
0.602306,0.00545264
0.604062,0.00549746
0.605818,0.00555735
0.607574,0.00561724
0.60933,0.0056652
0.611085,0.00571317
0.612841,0.00579628
0.614597,0.00587939
0.616353,0.00594379
0.618109,0.00600819
0.619865,0.00605753
0.62162,0.00610687
0.623376,0.00613973
0.625132,0.00617259
0.626888,0.00621361
0.628644,0.00628476
0.6304,0.00634532
0.632155,0.00640587
0.633911,0.00646078
0.635667,0.00651569
0.637423,0.00657954
0.639179,0.00664339
0.640935,0.00669218
0.64269,0.00674096
0.644446,0.00682877
0.646202,0.00691658
0.647958,0.00700627
0.649714,0.00706584
0.65147,0.00711724
0.653225,0.00716865
0.654981,0.00723638
0.656737,0.00733423
0.658493,0.00743184
0.660249,0.00752946
0.662005,0.00760385
0.66376,0.00767824
0.665516,0.00777209
0.667272,0.00786594
0.669028,0.00795352
0.670784,0.00801096
0.67254,0.00807869
0.674295,0.00817654
0.676051,0.00828067
0.677807,0.00838479
0.679563,0.00845299
0.681319,0.00852118
0.683075,0.00861762
0.68483,0.00874419
0.686586,0.00885161
0.688342,0.00895903
0.690098,0.0090608
0.691854,0.00916258
0.69361,0.00929714
0.695365,0.00943171
0.697121,0.00956628
0.698877,0.00970084
0.700633,0.00983615
0.702389,0.00997145
0.704145,0.0101068
0.7059,0.0102421
0.707656,0.0103695
0.709412,0.010497
0.711168,0.0106244
0.712924,0.0107519
0.71468,0.0108694
0.716435,0.0109869
0.718191,0.0111295
0.719947,0.0112721
0.721703,0.0114227
0.723459,0.0115733
0.725214,0.011749
0.72697,0.0119247
0.728726,0.0120901
0.730482,0.0122556
