,mieszanina_metabolitow
-1.84931,-0.000125731
-1.84919,7.67191E-05
-1.84907,-9.55439E-05
-1.84895,-0.000267807
-1.84883,-0.000112161
-1.84871,4.34848E-05
-1.84858,0.000309911
-1.84846,0.000150942
-1.84834,-0.000123239
-1.84822,-0.00039742
-1.8481,-0.000299379
-1.84798,-0.000201339
-1.84785,-0.000103299
-1.84773,-5.25825E-06
-1.84761,-0.00017309
-1.84749,-0.000340922
-1.84737,-0.000296056
-1.84725,-0.00025119
-1.84712,-0.000238243
-1.847,-0.000225295
-1.84688,-0.000212348
-1.84676,-0.0001994
-1.84664,7.0557E-05
-1.84652,0.000340514
-1.84639,0.000397773
-1.84627,0.000455033
-1.84615,0.000268022
-1.84603,8.10116E-05
-1.84591,-0.000105999
-1.84579,-0.000293009
-1.84566,-0.00020307
-1.84554,-0.00011313
-1.84542,8.31583E-05
-1.8453,0.000279447
-1.84518,0.000150318
-1.84506,2.11904E-05
-1.84493,0.00010476
-1.84481,0.00018833
-1.84469,0.000251959
-1.84457,0.000315588
-1.84445,0.00016652
-1.84433,1.74516E-05
-1.8442,2.98116E-06
-1.84408,-1.14897E-05
-1.84396,-2.59602E-05
-1.84384,-4.0431E-05
-1.84372,-4.6039E-05
-1.8436,-5.16474E-05
-1.84347,-5.72554E-05
-1.84335,-6.28638E-05
-1.84323,-0.000192061
-1.84311,-0.000321258
-1.84299,-9.59593E-05
-1.84287,0.000129339
-1.84275,0.000115354
